
---------- Begin Simulation Statistics ----------
system.cpu0.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdIndexedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdIndexedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdWholeRegisterLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdWholeRegisterStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdExt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatExt                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdConfig                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Add                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Cmp                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Cvt                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16DotProd             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16MatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16Mult                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdBf16MultAcc             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::Bf16Cvt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::System                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.issuedInstType_0::No_OpClass           32      0.00%      0.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntAlu          1068506     37.46%     37.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntMult             888      0.03%     37.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::IntDiv              527      0.02%     37.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatAdd           1702      0.06%     37.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCmp            707      0.02%     37.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatCvt            561      0.02%     37.61% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMult          1652      0.06%     37.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMultAcc         3630      0.13%     37.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatDiv            257      0.01%     37.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMisc         17284      0.61%     38.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatSqrt             0      0.00%     38.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAdd            6445      0.23%     38.64% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAddAcc            0      0.00%     38.64% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAlu           60058      2.11%     40.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCmp              28      0.00%     40.75% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCvt               3      0.00%     40.75% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMisc          72313      2.54%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMult              0      0.00%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMultAcc            0      0.00%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdMatMultAcc            0      0.00%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShift             8      0.00%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShiftAcc            0      0.00%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDiv               0      0.00%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSqrt              0      0.00%     43.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAdd       277481      9.73%     53.01% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAlu         6400      0.22%     53.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCmp            0      0.00%     53.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCvt            0      0.00%     53.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatDiv            0      0.00%     53.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMisc            0      0.00%     53.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMult       116545      4.09%     57.32% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMultAcc        25621      0.90%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatSqrt            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAdd            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAlu            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceCmp            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceCmp            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAes               0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAesMix            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash2            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash2            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma2            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma3            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha3              0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSm4e              0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCrc               0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdPredAlu            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDotProd            0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Matrix                0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixMov             0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixOP              0      0.00%     58.22% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemRead          624772     21.90%     80.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemWrite         561029     19.67%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemRead            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemWrite            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::InstPrefetch            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideStore            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskStore            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedStore            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedStore            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterStore            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStrideSegmentedLoad            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStrideSegmentedStore            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdExt               0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatExt            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdConfig            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Add            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Cmp            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Cvt            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16DotProd            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16MatMultAcc            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Mult            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16MultAcc            0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Bf16Cvt               0      0.00%     99.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::System             6109      0.21%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::total           2852558                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        2.104723                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                              65442                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.022942                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads                 4223343                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites                1639048                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses        1539675                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                        0                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                       0                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses               0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                 2616085                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                1252992                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses        1245846                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                    1583904                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                           0                       # Number of floating point alu accesses (Count)
